country,substation_id,action,destination,reason
spain,9000022052,remove,portugal,duplicate of portugal 6000012356 at 0.03 m
spain,9000022109,remove,portugal,duplicate of portugal 6000013815 at 0.02 m
spain,9000022123,remove,portugal,duplicate of portugal 6000013821 at 0.05 m
spain,9000023560,remove,portugal,duplicate of portugal 6000002165 at 0.03 m
spain,9000024328,remove,portugal,duplicate of portugal 6000005661 at 0.04 m
spain,9000024366,remove,portugal,duplicate of portugal 6000005990 at 0.01 m
spain,9000024370,remove,portugal,duplicate of portugal 6000005997 at 0.06 m
spain,9000024371,remove,portugal,duplicate of portugal 6000005998 at 0.05 m
spain,9000024373,remove,portugal,duplicate of portugal 6000006000 at 0.01 m
spain,9000024495,remove,portugal,duplicate of portugal 6000007416 at 0.03 m
spain,9000024496,remove,portugal,duplicate of portugal 6000007417 at 0.06 m
spain,9000024497,remove,portugal,duplicate of portugal 6000007418 at 0.03 m
spain,9000024498,remove,portugal,duplicate of portugal 6000007419 at 0.06 m
spain,9000024501,remove,portugal,duplicate of portugal 6000007422 at 0.05 m
spain,9000024520,remove,portugal,duplicate of portugal 6000007530 at 0.06 m
spain,9000024521,remove,portugal,duplicate of portugal 6000007540 at 0.00 m
spain,9000024522,remove,portugal,duplicate of portugal 6000007541 at 0.03 m
spain,9000024533,remove,portugal,duplicate of portugal 6000007554 at 0.06 m
spain,9000024675,remove,portugal,duplicate of portugal 6000007777 at 0.04 m
spain,9000024676,remove,portugal,duplicate of portugal 6000007778 at 0.03 m
spain,9000024677,remove,portugal,duplicate of portugal 6000007779 at 0.05 m
spain,9000024683,remove,portugal,duplicate of portugal 6000007784 at 0.03 m
spain,9000024684,remove,portugal,duplicate of portugal 6000007785 at 0.04 m
spain,9000024685,remove,portugal,duplicate of portugal 6000007786 at 0.02 m
spain,9000024689,remove,portugal,duplicate of portugal 6000007788 at 0.03 m
spain,9000024691,remove,portugal,duplicate of portugal 6000007791 at 0.03 m
spain,9000025001,remove,portugal,duplicate of portugal 6000011323 at 0.03 m
spain,9000025002,remove,portugal,duplicate of portugal 6000011324 at 0.05 m
spain,9000025003,remove,portugal,duplicate of portugal 6000011325 at 0.03 m
spain,9000025004,remove,portugal,duplicate of portugal 6000011326 at 0.03 m
spain,9000025006,remove,portugal,duplicate of portugal 6000011328 at 0.05 m
spain,9000025007,remove,portugal,duplicate of portugal 6000011329 at 0.06 m
spain,9000026253,remove,portugal,duplicate of portugal 6000001630 at 0.06 m
spain,9000026690,remove,portugal,duplicate of portugal 6000001971 at 0.00 m
spain,9000028290,remove,portugal,duplicate of portugal 6000005206 at 0.06 m
spain,9000028291,remove,portugal,duplicate of portugal 6000005207 at 0.02 m
spain,9000028302,remove,portugal,duplicate of portugal 6000005225 at 0.03 m
spain,9000028308,remove,portugal,duplicate of portugal 6000005236 at 0.01 m
spain,9000028336,remove,portugal,duplicate of portugal 6000005387 at 0.05 m
spain,9000028338,remove,portugal,duplicate of portugal 6000005400 at 0.05 m
spain,9000028378,remove,portugal,duplicate of portugal 6000005624 at 0.03 m
spain,9000028385,remove,portugal,duplicate of portugal 6000005636 at 0.04 m
spain,9000028386,remove,portugal,duplicate of portugal 6000005637 at 0.04 m
spain,9000028395,remove,portugal,duplicate of portugal 6000005651 at 0.04 m
spain,9000028396,remove,portugal,duplicate of portugal 6000005652 at 0.04 m
spain,9000028411,reassign,uk,new to uk
spain,9000028920,remove,portugal,duplicate of portugal 6000012339 at 0.03 m
sweden,5000006483,remove,finland,duplicate of finland FI_212697677 at 0.00 m
sweden,5000006498,remove,finland,duplicate of finland FI_215479048 at 0.00 m
sweden,5000007084,remove,finland,duplicate of finland FI_375670534 at 0.00 m
sweden,5000007126,remove,finland,duplicate of finland FI_397651041 at 0.00 m
sweden,5000007357,remove,norway,duplicate of norway NO_105062 at 0.00 m
sweden,5000008815,remove,finland,duplicate of finland FI_921724614 at 0.00 m
sweden,5000009031,remove,norway,duplicate of norway NO_101480 at 0.00 m
sweden,5000009032,remove,norway,duplicate of norway NO_101481 at 0.00 m
sweden,5000009355,remove,finland,duplicate of finland FI_1039046637 at 0.00 m
sweden,5000009360,remove,finland,duplicate of finland FI_1044077666 at 0.00 m
sweden,5000009527,remove,finland,duplicate of finland FI_1105909454 at 0.00 m
sweden,5000010391,reassign,norway,new to norway
sweden,5000011113,remove,norway,duplicate of norway NO_103583 at 0.00 m
turkey,TR-TR-0415,remove,SY,containing state SY has no fleet in this cohort
turkey,TR-TR-2721,remove,SY,containing state SY has no fleet in this cohort
